Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Discount
huami,Smartwatch,Amazfit GTS,['Blue'],5499.0,12999.0,AMOLED Display,4.3,Silicone,14,7500.0
huami,Smartwatch,Amazfit Bip U,"['Black', 'Pink']",2999.0,5999.0,AMOLED Display,4.2,Silicone,9,3000.0
huami,Smartwatch,Amazfit Bip S Lite,['Black'],1999.0,4999.0,AMOLED Display,3.9,Silicone,14,3000.0
huami,Smartwatch,Amazfit T-Rex,"['Gray', 'Green']",5999.0,10999.0,AMOLED Display,4.3,Silicone,20,5000.0
huami,Smartwatch,Amazfit GTS 2e,['Purple'],7999.0,13999.0,AMOLED Display,4.2,Silicone,14,6000.0
huami,Smartwatch,Amazfit GTR 2 Aluminium,"['Black', 'Red']",11999.0,17999.0,AMOLED Display,4.1,Silicone,10,6000.0
huami,Smartwatch,Amazfit GTS 2,['Black'],11999.0,17999.0,AMOLED Display,4.1,Silicone,7,6000.0
huami,Smartwatch,Amazfit GTR 2 Stainless Steel,"['Blue', 'Gray']",12499.0,17999.0,AMOLED Display,4.1,Silicone,10,5500.0
huami,Smartwatch,Amazfit Bip,['Black'],5499.0,6999.0,AMOLED Display,4.2,Silicone,28,1500.0
huami,Smartwatch,Amazfit GTR 42 mm Glitter,['White'],9999.0,16999.0,AMOLED Display,4.2,Silicone,12,7000.0
huami,Smartwatch,Amazfit Neo,['Black'],2499.0,3999.0,AMOLED Display,4.2,Thermoplastic polyurethane,7,1500.0
huami,Smartwatch,Amazfit Bip S,['Black'],5299.0,6499.0,AMOLED Display,4.0,Thermoplastic polyurethane,15,1200.0
huami,Smartwatch,Amazfit GTR 42,['Black'],8999.0,12999.0,AMOLED Display,4.3,Silicone,14,4000.0
huami,Smartwatch,Amazfit Stratos 3,['Black'],13999.0,17999.0,AMOLED Display,3.7,Silicone,14,4000.0
huami,Smartwatch,Amazfit GTR 42,['Red'],9999.0,12999.0,AMOLED Display,4.3,Silicone,12,3000.0
huami,Smartwatch,Amazfit Pace,['Black'],9999.0,10999.0,AMOLED Display,4.2,Silicone,14,1000.0
huami,Smartwatch,Amazfit Bip S,['Red'],2999.0,4999.0,AMOLED Display,3.9,Thermoplastic polyurethane,15,2000.0
huami,Smartwatch,Amazfit Bip S,"['Gray', 'Green']",3799.0,4999.0,AMOLED Display,3.9,Thermoplastic polyurethane,15,1200.0
huami,Smartwatch,Amazfit Bip,['Pink'],5499.0,5990.0,AMOLED Display,4.2,Silicone,28,491.0
huami,Smartwatch,Amazfit Bip S,['White'],4999.0,5999.0,AMOLED Display,4.0,Thermoplastic polyurethane,15,1000.0
huami,Smartwatch,Amazfit GTR 47,['Black'],10999.0,18999.0,AMOLED Display,4.2,Silicone,25,8000.0
huami,Smartwatch,Amazfit GTR 47,['Black'],8999.0,13999.0,AMOLED Display,4.3,Silicone,25,5000.0
huami,Smartwatch,Amazfit Verge,['Black'],12999.0,12999.0,AMOLED Display,4.1,Silicone,25,0.0
huami,Smartwatch,Amazfit Verge,['Black'],11999.0,12999.0,AMOLED Display,4.1,Silicone,25,1000.0
huami,Smartwatch,Amazfit Verge,['Black'],5999.0,8999.0,AMOLED Display,4.2,Silicone,14,3000.0
huami,Smartwatch,Amazfit Bip,['Red'],4950.0,5990.0,AMOLED Display,4.2,Silicone,28,1040.0
huami,Smartwatch,Amazfit Verge,['Black'],11999.0,12999.0,AMOLED Display,4.1,Silicone,7,1000.0
huami,Smartwatch,Amazfit Bip,['Purple'],5499.0,6999.0,AMOLED Display,4.2,Silicone,28,1500.0
huami,Smartwatch,Amazfit Stratos,['Black'],12999.0,15999.0,AMOLED Display,4.2,Silicone,25,3000.0
huami,Smartwatch,Amazfit Bip Lite,['Black'],3499.0,5499.0,AMOLED Display,4.0,Thermoplastic polyurethane,7,2000.0
huami,Smartwatch,Amazfit Verge Lite,['Black'],5999.0,8999.0,AMOLED Display,4.2,Silicone,5,3000.0
huami,Smartwatch,Amazfit Bip,['Gray'],6399.0,7399.0,AMOLED Display,4.4,Silicone,28,1000.0
huami,Smartwatch,Bip Lite On,['Black'],7999.0,14999.0,AMOLED Display,4.1,Silicone,7,7000.0
SAMSUNG ,Smartwatch,Galaxy Active 2,"['Beige', 'Black']",11990.0,25990.0,AMOLED Display,4.5,Silicone,7,14000.0
SAMSUNG ,Smartwatch,Galaxy Active 2,['Gray'],12990.0,25990.0,AMOLED Display,4.5,Silicone,7,13000.0
SAMSUNG ,Smartwatch,Galaxy Classic 4,['Black'],32959.0,37999.0,AMOLED Display,4.6,Elastomer,14,5040.0
SAMSUNG ,Smartwatch,Galaxy Classic 4,['Silver'],40000.0,42999.0,AMOLED Display,4.6,Elastomer,14,2999.0
SAMSUNG ,Smartwatch,Galaxy Classic 4,['Silver'],34999.0,37999.0,AMOLED Display,4.6,Elastomer,14,3000.0
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,['Black'],28999.0,31999.0,AMOLED Display,5.0,Elastomer,14,3000.0
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,['Black'],2000.0,2590.0,PMOLED Display,3.8,Rubber,7,590.0
SAMSUNG ,FitnessBand,Galaxy Fit-e Smart,['Yellow'],2490.0,2590.0,PMOLED Display,3.8,Rubber,7,100.0
SAMSUNG ,FitnessBand,Galaxy Fit,['Silver'],8990.0,9990.0,AMOLED Display,4.0,Rubber,7,1000.0
SAMSUNG ,Smartwatch,Galaxy Watch 3,['Black'],28990.0,30990.0,AMOLED Display,4.3,Leather,14,2000.0
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,['Black'],31999.0,34999.0,AMOLED Display,4.6,Elastomer,14,3000.0
SAMSUNG ,Smartwatch,Galaxy Watch 4 Classic LTE,['Black'],40000.0,42999.0,AMOLED Display,4.6,Elastomer,14,2999.0
SAMSUNG ,Smartwatch,Galaxy Watch 4 LTE,['Pink'],28999.0,31999.0,AMOLED Display,4.6,Elastomer,14,3000.0
SAMSUNG ,Smartwatch,Galaxy Active 2,['Gray'],18990.0,28490.0,AMOLED Display,4.1,Silicone,14,9500.0
SAMSUNG ,Smartwatch,Galaxy 46mm,['Gray'],16990.0,33999.0,AMOLED Display,4.5,Elastomer,7,17009.0
SAMSUNG ,Smartwatch,Galaxy Classic 4 LTE,"['Green', 'Silver']",36999.0,39999.0,AMOLED Display,4.6,Elastomer,14,3000.0
SAMSUNG ,Smartwatch,Galaxy Active Steel 2 LTE,['Brown'],30990.0,34490.0,AMOLED Display,4.1,Silicone,14,3500.0
SAMSUNG ,Smartwatch,Galaxy Active Steel 2,['Black'],24490.0,31990.0,AMOLED Display,4.3,Silicone,14,7500.0
SAMSUNG ,Smartwatch,Galaxy Classic 4,['Blue'],34999.0,34999.0,AMOLED Display,4.6,Silicone,14,0.0
SAMSUNG ,Smartwatch,Galaxy Active 42mm,['Black'],19990.0,19990.0,AMOLED Display,4.4,Elastomer,14,0.0
SAMSUNG ,Smartwatch,Galaxy 44mm,['Beige'],24490.0,28490.0,AMOLED Display,3.6,Silicone,14,4000.0
SAMSUNG ,Smartwatch,Galaxy LTE,['Silver'],31999.0,31999.0,AMOLED Display,4.6,Elastomer,14,0.0
SAMSUNG ,Smartwatch,Gear Fit 2,['Blue'],15000.0,15000.0,AMOLED Display,4.2,Silicone,7,0.0
SAMSUNG ,Smartwatch,Gear Fit,['Black'],7999.0,16860.0,AMOLED Display,3.9,Silicone,7,8861.0
SAMSUNG ,Smartwatch,Galaxy Active 2 Steel,['Black'],24490.0,31990.0,AMOLED Display,4.4,Leather,14,7500.0
SAMSUNG ,Smartwatch,Gear S2,"['Blue', 'Silver']",24300.0,24300.0,AMOLED Display,4.3,Elastomer,14,0.0
SAMSUNG ,Smartwatch,Galaxy Active Steel,['Blue'],29990.0,34490.0,AMOLED Display,4.1,Silicone,14,4500.0
SAMSUNG ,Smartwatch,Gear Fit 2 Pro,"['Black', 'Red']",9990.0,14990.0,AMOLED Display,4.3,Silicone,7,5000.0
SAMSUNG ,Smartwatch,Gear Fit 2,"['Blue', 'Pink']",15000.0,15000.0,AMOLED Display,4.2,Silicone,7,0.0
